breadth,exit_buffer,sl,tp,max_pos,leverage,bgap,max_hold_days,final,trades,mwr,pf,sharpe,mdd,win_rate,score,return_pct
0.5,0.98,5.0,40.0,5,1.0,0.1,30,665781.4023400006,572,0.26229508196721313,0.8569606926554032,-0.31110686469427434,49.08673200555286,0.5297202797202797,-9994.28,-33.42185976599994
0.5,0.975,3.0,40.0,5,1.0,0.12,30,692710.5857599997,573,0.22950819672131148,0.85664000162931,-0.32071287133259435,48.03201795366843,0.531578947368421,-9994.3,-30.728941424000034
0.5,0.975,5.0,40.0,5,1.5,0.12,30,757314.3821600004,572,0.3114754098360656,0.9380961585887089,-0.16785582982127434,49.46515589540513,0.5368421052631579,-9994.3,-24.268561783999964
0.5,0.975,3.0,40.0,5,1.0,0.1,30,592431.9397200014,567,0.21311475409836064,0.8171237428327452,-0.56859448189897,48.495477386202154,0.5343915343915344,-9994.33,-40.75680602799986
0.6,0.975,3.0,40.0,5,2.0,0.12,30,678615.63006,569,0.29508196721311475,0.9325222264963788,-0.1266479631910431,42.75651104351072,0.5282685512367491,-9994.34,-32.138436993999996
0.5,0.975,5.0,40.0,5,1.0,0.1,30,1224386.9559799994,567,0.29508196721311475,1.0859626349243736,0.3110247665167511,17.64413975863779,0.584070796460177,-9994.35,22.438695597999935
0.5,0.98,5.0,40.0,5,1.0,0.12,30,1136021.3961800018,566,0.3114754098360656,1.0592876014985462,0.2447023820761847,21.203536970255865,0.5797872340425532,-9994.36,13.602139618000187
0.6,0.98,3.0,40.0,5,1.5,0.12,30,392971.86739999906,563,0.16393442622950818,0.7241335428784416,-0.7162448564034435,68.26655252148262,0.4866785079928952,-9994.37,-60.702813260000084
0.6,0.975,5.0,40.0,5,1.5,0.1,30,446087.6933399993,563,0.21311475409836064,0.7715941595765718,-0.5347833721315105,69.49010783089459,0.5257548845470693,-9994.37,-55.39123066600007
0.5,0.98,5.0,40.0,5,2.0,0.1,30,577528.0371399998,565,0.2459016393442623,0.9258391313159993,-0.27714207055360646,67.83227337773629,0.5293072824156305,-9994.37,-42.24719628600002
0.6,0.975,3.0,40.0,5,1.5,0.1,30,285218.7277400003,565,0.18032786885245902,0.6618249881099186,-1.4141649172734507,72.25358747591882,0.49644128113879005,-9994.38,-71.47812722599997
0.6,0.975,5.0,40.0,5,2.0,0.12,30,792466.2678199989,565,0.22950819672131148,0.9434758145906734,0.03272424315261207,59.07345666510457,0.5444839857651246,-9994.38,-20.753373218000114
0.5,0.98,3.0,40.0,5,1.5,0.1,30,1010731.9256399986,564,0.2786885245901639,1.0050960795555686,0.11433140886856898,36.9737423248028,0.5604982206405694,-9994.38,1.0731925639998696
0.5,0.975,3.0,40.0,5,1.5,0.1,30,890040.7798999993,562,0.2786885245901639,0.9781610421731349,0.010624408948781545,43.26402048212535,0.5589285714285714,-9994.4,-10.99592201000007
0.6,0.98,3.0,40.0,5,1.5,0.1,30,355634.9054800008,563,0.18032786885245902,0.6954453137967919,-0.9152668371797278,71.9789653167893,0.5089285714285714,-9994.4,-64.43650945199992
0.5,0.975,5.0,40.0,5,1.5,0.1,30,774995.9223599993,562,0.2459016393442623,0.9439187664931673,-0.12305189350349126,42.641409418732856,0.5482142857142858,-9994.4,-22.500407764000073
0.6,0.975,5.0,40.0,5,1.5,0.12,30,302309.1523999993,562,0.19672131147540983,0.6446965978900091,-0.9081195944067427,74.3592249132494,0.49731663685152055,-9994.41,-69.76908476000007
0.5,0.975,5.0,40.0,5,2.0,0.1,30,581670.4055600001,561,0.22950819672131148,0.9307512771754962,-0.2238525195983626,67.60844582074165,0.5295169946332737,-9994.41,-41.832959444
0.5,0.975,5.0,40.0,5,1.0,0.12,30,1113135.28406,561,0.32786885245901637,1.040778098158596,0.2095360726610439,24.41292465714247,0.5617173524150268,-9994.41,11.313528405999996
0.5,0.975,3.0,40.0,5,2.0,0.1,30,741859.4730999985,560,0.2786885245901639,0.9542768304441868,-0.018268139760723515,59.6894201496596,0.5565529622980251,-9994.43,-25.814052690000146
0.5,0.98,5.0,40.0,5,1.5,0.12,30,671739.4488600007,556,0.22950819672131148,0.9080044994588022,-0.20605407612389023,54.45141840815735,0.5306859205776173,-9994.46,-32.82605511399993
0.6,0.98,5.0,40.0,5,2.0,0.1,30,346566.6271600012,555,0.18032786885245902,0.7878082282794133,-0.4875153073706581,74.61825998686503,0.5072463768115942,-9994.48,-65.34333728399989
0.6,0.975,3.0,40.0,5,1.5,0.12,30,298426.40223999944,555,0.16393442622950818,0.6573085497939749,-1.1529834901360314,74.38405625458383,0.5090579710144928,-9994.48,-70.15735977600006
0.5,0.98,5.0,40.0,5,1.5,0.1,30,701239.5204600012,554,0.22950819672131148,0.9151685867189852,-0.21029978620603562,49.22442612148092,0.5181159420289855,-9994.48,-29.876047953999883
0.6,0.98,3.0,40.0,5,2.0,0.12,30,551766.6471000003,553,0.26229508196721313,0.873116848049965,-0.286349534752488,56.12836270449729,0.5245009074410163,-9994.49,-44.82333528999997
0.5,0.98,5.0,40.0,5,2.0,0.12,30,1058139.1525600008,552,0.29508196721311475,1.0102914586222553,0.1723016201440602,50.600193284212466,0.5482695810564663,-9994.51,5.8139152560000795
0.5,0.975,3.0,40.0,5,1.5,0.12,30,858440.9233399997,551,0.2786885245901639,0.9685808395966412,-0.07067888014527943,38.04039455841813,0.5565693430656934,-9994.52,-14.155907666000022
0.6,0.975,5.0,40.0,5,2.0,0.1,30,413862.5236400001,548,0.21311475409836064,0.8272206752630422,-0.33524267527065016,70.00828246924418,0.5201465201465202,-9994.54,-58.61374763599999
0.6,0.98,5.0,40.0,5,2.0,0.12,30,565615.7457400007,548,0.22950819672131148,0.8720446427957649,-0.2397940974753214,57.58567375398669,0.5256410256410257,-9994.54,-43.438425425999924
0.5,0.98,3.0,40.0,5,1.5,0.12,30,769472.7670399987,546,0.2786885245901639,0.949219551907904,-0.13386790588769223,50.97680692974208,0.5422794117647058,-9994.56,-23.05272329600013
0.5,0.98,3.0,40.0,5,2.0,0.1,30,685072.6095600006,545,0.26229508196721313,0.9406534834999063,-0.06502771991919663,62.44766612862315,0.5479704797047971,-9994.58,-31.49273904399994
0.5,0.98,3.0,40.0,5,2.0,0.12,30,525194.1081400022,536,0.2459016393442623,0.9037166749049341,-0.31462157179690176,63.9537380590231,0.5318352059925093,-9994.66,-47.480589185999776
