日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260228,2721,ジェイホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2722,ＩＫホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2726,パルグループホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260228,2730,エディオン,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260228,2733,あらた,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20260228,2734,サーラコーポレーション,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20260228,2735,ワッツ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2736,フェスタリアホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2737,トーメンデバイス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20260228,273A,ＳＢＩ　サウジアラビア株式上場投信,ETF・ETN,-,-,-,-,-,-
20260228,2742,ハローズ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20260228,2747,北雄ラッキー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2749,ＪＰホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20260228,274A,ガーデン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2750,石光商事,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2751,テンポスホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2752,フジオフードグループ本社,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260228,2753,あみやき亭,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20260228,2760,東京エレクトロン　デバイス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20260228,2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2763,エフティグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2764,ひらまつ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2767,円谷フィールズホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20260228,2768,双日,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20260228,2769,ヴィレッジヴァンガードコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,276A,ククレブ・アドバイザーズ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20260228,2776,新都ホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2778,パレモ・ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,277A,グロービング,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2780,コメ兵ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2782,セリア,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2784,アルフレッサ　ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20260228,2788,アップルインターナショナル,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2789,カルラ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20260228,2790,ナフコ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2791,大黒天物産,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260228,2792,ハニーズホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20260228,2795,日本プリメックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,2796,ファーマライズホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,2798,ワイズテーブルコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,279A,インターグ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2801,キッコーマン,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2802,味の素,プライム（内国株式）,3050,食料品,1,食品,2,TOPIX Large70
